2024-03-01,0.9220,US Dollar
2024-03-02,0.9220,US Dollar
2024-03-03,0.9220,US Dollar
2024-03-04,0.9211,US Dollar
2024-03-05,0.9211,US Dollar
2024-03-06,0.9175,US Dollar
2024-03-07,0.9133,US Dollar
2024-03-08,0.9137,US Dollar
2024-03-09,0.9137,US Dollar
2024-03-10,0.9137,US Dollar
2024-03-11,0.9149,US Dollar
2024-03-12,0.9151,US Dollar
2024-03-13,0.9131,US Dollar
2024-03-14,0.9190,US Dollar
2024-03-15,0.9183,US Dollar
2024-03-16,0.9183,US Dollar
2024-03-17,0.9183,US Dollar
2024-03-18,0.9192,US Dollar
2024-03-19,0.9202,US Dollar
2024-03-20,0.9150,US Dollar
2024-03-21,0.9210,US Dollar
2024-03-22,0.9213,US Dollar
2024-03-23,0.9213,US Dollar
2024-03-24,0.9213,US Dollar
2024-03-25,0.9230,US Dollar
2024-03-26,0.9235,US Dollar
2024-03-27,0.9245,US Dollar
2024-03-28,0.9268,US Dollar
2024-03-29,0.9259,US Dollar
2024-03-30,0.9259,US Dollar
2024-03-31,0.9259,US Dollar
